"","DateRep","Deaths","Countries and territories"
"1",2020-03-23,112,"France"
"2",2020-03-22,112,"France"
"3",2020-03-21,78,"France"
"4",2020-03-20,128,"France"
"5",2020-03-19,69,"France"
"6",2020-03-18,27,"France"
"7",2020-03-17,21,"France"
"8",2020-03-16,36,"France"
"9",2020-03-15,12,"France"
"10",2020-03-14,18,"France"
"11",2020-03-13,13,"France"
"12",2020-03-12,15,"France"
"13",2020-03-11,3,"France"
"14",2020-03-10,11,"France"
"15",2020-03-09,9,"France"
"16",2020-03-08,1,"France"
"17",2020-03-07,2,"France"
"18",2020-03-06,3,"France"
"19",2020-03-05,0,"France"
"20",2020-03-04,1,"France"
"21",2020-03-03,1,"France"
"22",2020-03-02,0,"France"
"23",2020-03-01,0,"France"
"24",2020-02-29,0,"France"
"25",2020-02-28,0,"France"
"26",2020-02-27,1,"France"
"27",2020-02-26,0,"France"
"28",2020-02-25,0,"France"
"29",2020-02-24,0,"France"
"30",2020-02-23,0,"France"
"31",2020-02-22,0,"France"
"32",2020-02-21,0,"France"
"33",2020-02-20,0,"France"
"34",2020-02-19,0,"France"
"35",2020-02-18,0,"France"
"36",2020-02-17,0,"France"
"37",2020-02-16,0,"France"
"38",2020-02-15,1,"France"
"39",2020-02-14,0,"France"
"40",2020-02-13,0,"France"
"41",2020-02-12,0,"France"
"42",2020-02-11,0,"France"
"43",2020-02-10,0,"France"
"44",2020-02-09,0,"France"
"45",2020-02-08,0,"France"
"46",2020-02-07,0,"France"
"47",2020-02-06,0,"France"
"48",2020-02-05,0,"France"
"49",2020-02-04,0,"France"
"50",2020-02-03,0,"France"
"51",2020-02-02,0,"France"
"52",2020-02-01,0,"France"
"53",2020-01-31,0,"France"
"54",2020-01-30,0,"France"
"55",2020-01-29,0,"France"
"56",2020-01-28,0,"France"
"57",2020-01-27,0,"France"
"58",2020-01-26,0,"France"
"59",2020-01-25,0,"France"
"60",2020-01-24,0,"France"
"61",2020-01-23,0,"France"
"62",2020-01-22,0,"France"
"63",2020-01-21,0,"France"
"64",2020-01-20,0,"France"
"65",2020-01-19,0,"France"
"66",2020-01-18,0,"France"
"67",2020-01-17,0,"France"
"68",2020-01-16,0,"France"
"69",2020-01-15,0,"France"
"70",2020-01-14,0,"France"
"71",2020-01-13,0,"France"
"72",2020-01-12,0,"France"
"73",2020-01-11,0,"France"
"74",2020-01-10,0,"France"
"75",2020-01-09,0,"France"
"76",2020-01-08,0,"France"
"77",2020-01-07,0,"France"
"78",2020-01-06,0,"France"
"79",2020-01-05,0,"France"
"80",2020-01-04,0,"France"
"81",2020-01-03,0,"France"
"82",2020-01-02,0,"France"
"83",2020-01-01,0,"France"
"84",2019-12-31,0,"France"
